Brand,Year,Model,UsedOrNew,Transmission,Kilometres,Price,State,Litres
Honda,2008,Civic,USED,Manual,165450,18990,NSW,2.0
Honda,2022,CR-V,USED,Automatic,15087,39990,NSW,1.5
Nissan,2013,Navara,USED,Automatic,159056,21990,NSW,2.5
Hyundai,2017,Tucson,USED,Automatic,97295,31990,NSW,2.0
Mazda,2015,CX-5,USED,Automatic,83095,26990,NSW,2.5
Isuzu,2017,D-MAX,USED,Automatic,192988,28999,NSW,3.0
Mercedes-Benz,2014,A200,USED,Automatic,105663,22500,NSW,1.8
Toyota,2007,HiAce,USED,Manual,222603,17990,NSW,2.7
Ford,2020,Puma,USED,Automatic,22300,27800,NSW,1.0
Mazda,2022,2,USED,Automatic,11824,29990,NSW,1.5
Toyota,2007,Corolla,USED,Automatic,250318,10990,NSW,1.8
Jeep,2016,Grand,USED,Automatic,39967,34800,NSW,3.6
Hyundai,2020,Tucson,USED,Automatic,38341,28984,NSW,2.0
Toyota,2020,Camry,USED,Automatic,7528,32990,NSW,2.5
Honda,2018,City,USED,Automatic,94385,19999,NSW,1.5
Toyota,2018,C-HR,USED,Automatic,110047,29990,NSW,1.2
Kia,2012,Sorento,USED,Automatic,164189,16990,NSW,2.2
Holden,2013,Cruze,USED,Automatic,106722,10800,NSW,1.8
Isuzu,2018,MU-X,USED,Automatic,72650,39880,NSW,3.0
Kia,2015,Cerato,USED,Automatic,123624,14995,NSW,1.8
Lexus,2014,IS350,USED,Automatic,155620,27990,NSW,3.5
Mazda,2018,2,USED,Automatic,53426,22990,NSW,1.5
Toyota,2009,Corolla,USED,Automatic,114727,14995,NSW,1.8
Toyota,2016,Kluger,USED,Automatic,98983,39280,NSW,3.5
Volkswagen,2007,Golf,USED,Automatic,160523,10990,NSW,2.0
Holden,2015,Commodore,USED,Automatic,96000,47990,NSW,6.0
Nissan,2016,X-Trail,USED,Automatic,39397,23950,NSW,2.5
Hyundai,2020,I30,USED,Automatic,54368,26990,NSW,2.0
Holden,2014,Cruze,USED,Automatic,220683,7990,NSW,1.8
Toyota,2013,Camry,USED,Automatic,89140,17900,NSW,2.5
Toyota,2013,Corolla,USED,Automatic,149974,16990,NSW,1.8
Hyundai,2019,I30,USED,Automatic,44879,26990,NSW,2.0
Mazda,2016,BT-50,USED,Automatic,110909,34913,NSW,3.2
Toyota,2013,Corolla,USED,Automatic,109519,19990,NSW,1.8
Kia,2020,Stinger,USED,Automatic,19372,55888,NSW,3.3
Toyota,2015,RAV4,USED,Automatic,155198,24950,NSW,2.5
Honda,2012,Jazz,USED,Automatic,111323,12800,NSW,1.3
BMW,2017,430I,USED,Automatic,79882,41280,NSW,2.0
Volkswagen,2008,Golf,USED,Manual,155839,13990,NSW,2.0
Subaru,2018,Outback,USED,Automatic,66805,33898,NSW,2.5
Ford,2011,Territory,USED,Automatic,227646,8913,NSW,2.7
Kia,2013,RIO,USED,Automatic,88465,14888,NSW,1.4
Holden,2013,Commodore,USED,Automatic,237426,15995,NSW,3.6
Toyota,1999,Landcruiser,USED,Manual,41750,48999,NSW,4.2
Toyota,2013,Hilux,USED,Manual,345194,12990,NSW,3.0
Toyota,2017,Corolla,USED,Automatic,130970,23990,NSW,1.8
Honda,2016,Civic,USED,Automatic,35612,24888,NSW,1.5
Audi,2013,A3,USED,Automatic,148265,13999,NSW,1.8
Hyundai,2018,I30,USED,Automatic,83494,27950,NSW,1.6
Mazda,2012,2,USED,Automatic,85492,13990,NSW,1.5
Volkswagen,2013,Tiguan,USED,Automatic,126408,19999,NSW,2.0
Renault,2017,Trafic,USED,Manual,173156,22950,NSW,1.6
Peugeot,2013,208,USED,Manual,78783,14990,NSW,1.6
Land,2020,Rover,USED,Automatic,26227,69800,NSW,2.0
Honda,2017,HR-V,USED,Automatic,101821,20995,NSW,1.8
Mitsubishi,2014,Triton,USED,Manual,221872,14413,NSW,2.5
Nissan,2015,Pulsar,USED,Automatic,90691,14776,NSW,1.8
Mazda,2018,6,USED,Automatic,24305,29990,NSW,2.5
Audi,2007,A4,USED,Automatic,168901,7950,NSW,2.0
Honda,2005,Accord,USED,Automatic,167562,7949,NSW,2.4
Audi,2016,SQ5,USED,Automatic,152995,29999,NSW,3.0
Toyota,2007,Corolla,USED,Automatic,236946,8880,NSW,1.8
Holden,2011,Commodore,USED,Automatic,183580,12990,NSW,3.6
Nissan,2015,X-Trail,USED,Automatic,124882,19888,NSW,1.6
Mazda,2005,6,USED,Automatic,247519,5950,NSW,2.3
Audi,2021,Q3,USED,Automatic,9819,51990,NSW,1.4
Lexus,2004,IS300,USED,Automatic,124230,16000,NSW,3.0
Mitsubishi,2020,Triton,USED,Automatic,43839,33990,NSW,2.4
